epoch,Train classes accuracy,Train classes precision,Train classes recall,Validation classes accuracy,Validation classes precision,Validation classes recall,Train confidence accuracy,Train confidence precision,Train confidence recall,Validation confidence accuracy,Validation confidence precision,Validation confidence recall,Validation mse loss,Validation bounding box iou,Train mse loss,Train bounding box iou
0,0.12818498147940285,0.3693402328589909,0.16410403793648512,0.11833987661245092,0.35225375626043404,0.15125448028673835,0.3041750819455021,0.46646356943386647,0.46646356943386647,0.3032514930325149,0.4653767820773931,0.4653767820773931,0.0562235565554528,0.09896792197706028,0.055346391197428645,0.10453752141041928
1,0.12758078994614003,0.3651252408477842,0.16395097332372027,0.11771300448430494,0.34941763727121466,0.1507537688442211,0.30463554246765706,0.46700481866599036,0.46700481866599036,0.3037135278514589,0.4659206510681587,0.4659206510681587,0.05181783124094918,0.2230786101431364,0.05091747906373208,0.2204408519957439
2,0.12748288632027832,0.36480411046885036,0.1638540314438194,0.11771300448430494,0.34941763727121466,0.1507537688442211,0.30463554246765706,0.46700481866599036,0.46700481866599036,0.3037135278514589,0.4659206510681587,0.4659206510681587,0.050985509944813594,0.2463657942946468,0.05011304054992745,0.23806763090283037
3,0.12745428026478178,0.36480411046885036,0.16380677721701514,0.11771300448430494,0.34941763727121466,0.1507537688442211,0.30463554246765706,0.46700481866599036,0.46700481866599036,0.3037135278514589,0.4659206510681587,0.4659206510681587,0.05050981516284602,0.2457408373377153,0.04959141472017908,0.2354515225413334
4,0.12745428026478178,0.36480411046885036,0.16380677721701514,0.11771300448430494,0.34941763727121466,0.1507537688442211,0.30463554246765706,0.46700481866599036,0.46700481866599036,0.3037135278514589,0.4659206510681587,0.4659206510681587,0.05023068564988318,0.24212613142428122,0.049274078514202534,0.2316613524075014
5,0.12745428026478178,0.36480411046885036,0.16380677721701514,0.11771300448430494,0.34941763727121466,0.1507537688442211,0.30463554246765706,0.46700481866599036,0.46700481866599036,0.3037135278514589,0.4659206510681587,0.4659206510681587,0.05010424613952637,0.23918360349323067,0.049139033464423144,0.22844183516789632
6,0.12745428026478178,0.3641025641025641,0.16394862173473806,0.11764705882352941,0.3482587064676617,0.15086206896551724,0.30463554246765706,0.46700481866599036,0.46700481866599036,0.3037135278514589,0.4659206510681587,0.4659206510681587,0.05003401698810714,0.2378659999335096,0.04904468667255827,0.22699797135519695
7,0.12745428026478178,0.36433611289288004,0.16390131294185542,0.11764705882352941,0.3482587064676617,0.15086206896551724,0.30463554246765706,0.46700481866599036,0.46700481866599036,0.3037135278514589,0.4659206510681587,0.4659206510681587,0.04998857281392529,0.23722106046797264,0.048992812633514404,0.22623072205537773
8,0.12803853478212165,0.36216730038022815,0.16531674862597628,0.11758118701007839,0.34539473684210525,0.15129682997118155,0.30463554246765706,0.46700481866599036,0.46700481866599036,0.3037135278514589,0.4659206510681587,0.4659206510681587,0.049949784821697644,0.2374880918270598,0.048943634627454255,0.22641594025744013
9,0.12756647593402895,0.3531055900621118,0.1664714494875549,0.11764705882352941,0.3387096774193548,0.15272727272727274,0.30463554246765706,0.46700481866599036,0.46700481866599036,0.3037135278514589,0.4659206510681587,0.4659206510681587,0.04992549996290888,0.23742787624398867,0.04890939615756632,0.22661456681159606
