epoch,Train classes accuracy,Train classes precision,Train classes recall,Validation classes accuracy,Validation classes precision,Validation classes recall,Train confidence accuracy,Train confidence precision,Train confidence recall,Validation confidence accuracy,Validation confidence precision,Validation confidence recall,Validation confidence loss,Validation bounding box loss,Validation classes loss,Validation bounding box iou,Train confidence loss,Train bounding box loss,Train classes loss,Train bounding box iou
0,0.11370295244534595,0.25383647798742137,0.17078537576167907,0.11018826135105204,0.24659231722428748,0.166110183639399,0.30438236462332846,0.46670726755988634,0.46670726755988634,0.3029045643153527,0.46496815286624205,0.46496815286624205,2.6734615958872294,2.4352753562018985,2.27530867485773,0.004106562369519712,2.6313852876065726,2.438889428793666,2.2758638772619775,0.004453112581655024
1,0.12138537658053876,0.294478527607362,0.17116279069767443,0.1124031007751938,0.2732166890982503,0.160347551342812,0.30461253391569054,0.4669777822866998,0.4669777822866998,0.30359807660421156,0.465784787585856,0.465784787585856,2.457383440222059,2.1428712847119287,2.254562317303249,0.011085194450348527,2.414925484772188,2.1481337834553544,2.214827270392912,0.01014732843242496
2,0.12637604579480405,0.30013071895424837,0.17917902294365537,0.11396648044692738,0.27530364372469635,0.16280925778132482,0.305049436195893,0.46749100491562356,0.46749100491562356,0.3032514930325149,0.4653767820773931,0.4653767820773931,2.398205929937817,2.083834594317845,2.248121712661925,0.01948276508688217,2.342673702412341,2.0831374863544143,2.1998347561043428,0.01898218200441046
3,0.12628780325689598,0.2860727728983689,0.18440634098997088,0.11461794019933555,0.26572528883183566,0.16774716369529985,0.3049575023977246,0.46738304019463733,0.46738304019463733,0.3034825870646766,0.46564885496183206,0.46564885496183206,2.3928325181915646,2.025720557258243,2.235869454429263,0.030634469687633795,2.306782781359661,2.0258027530578246,2.186823270407068,0.029903055785829764
4,0.12702283307470627,0.2669461914744934,0.19506382978723405,0.11180124223602485,0.24087591240875914,0.17262423714036618,0.3053021287848737,0.4677876823338736,0.4677876823338736,0.3032514930325149,0.4653767820773931,0.4653767820773931,2.388942046960195,1.9846006927603768,2.2397513682501655,0.04141455206110896,2.301164562443653,1.9875415276332073,2.1754765180220086,0.04020864759987018
5,0.1300705467372134,0.2927313321756388,0.18968011573701976,0.111358574610245,0.26143790849673204,0.16246953696181965,0.3054628375028917,0.4679763049972153,0.4679763049972153,0.3032514930325149,0.4653767820773931,0.4653767820773931,2.356087202344622,2.0218515802565076,2.2344036851610456,0.021250654992181806,2.2242635086358313,2.0291901956121605,2.1709153206951646,0.01910445166342185
6,0.13087506879471655,0.2852687140115163,0.19472649852603996,0.11361079865016872,0.25667090216010163,0.16932103939647947,0.30686015831134567,0.46961437512618615,0.46961437512618615,0.30417495029821073,0.46646341463414637,0.46646341463414637,2.275878822349367,2.062595488003322,2.2421080555234636,0.0029332506950456826,2.151546413639942,2.0595575470522225,2.161325216293335,0.0039003880565469883
7,0.13234323432343234,0.2682872435325602,0.20709244276123256,0.108,0.22340425531914893,0.1729185727355901,0.30686015831134567,0.46961437512618615,0.46961437512618615,0.30359807660421156,0.465784787585856,0.465784787585856,2.218668136142549,2.051733471325466,2.2397981259936377,0.0025188540861320993,2.079852094133216,2.0533877194645895,2.15119624712381,0.0031568399943966777
8,0.13592866463679862,0.2714440825190011,0.21400445129258688,0.11291224147568474,0.23325635103926096,0.17955555555555555,0.3071115360522238,0.4699086919235232,0.4699086919235232,0.30359807660421156,0.465784787585856,0.465784787585856,2.23618632600421,2.0492518375033426,2.2428653807867143,0.0035797909751445764,2.0363357239458932,2.0497207612876434,2.1450502513402916,0.003994092262835321
9,0.13618549967341606,0.28522571819425446,0.20674268715914726,0.11383928571428571,0.24938875305623473,0.1731748726655348,0.3069287339643175,0.4696946757506939,0.4696946757506939,0.3032514930325149,0.4653767820773931,0.4653767820773931,2.1941033819743567,2.047566744486491,2.246551173982166,0.00473216849090975,2.012776410723307,2.0469418433775384,2.140069276453501,0.0052112415864227725
