epoch,Validation MSE loss,Train MSE loss
0,0.6791782675584157,0.08586677480019442
1,0.6701842812299729,0.07690591670322318
2,0.6681919150948524,0.07492951366330396
3,0.6677635614275932,0.07450853217737514
4,0.6676601815621058,0.07440850409452154
5,0.6676232650677363,0.07437312208554324
6,0.6676010567744572,0.07435166539953035
7,0.6675821407636007,0.07433315045630731
8,0.6675636971990268,0.07431496513866577
9,0.6675444519519806,0.07429587063105668
