epoch,Train classes accuracy,Train classes precision,Train classes recall,Validation classes accuracy,Validation classes precision,Validation classes recall,Train confidence accuracy,Train confidence precision,Train confidence recall,Validation confidence accuracy,Validation confidence precision,Validation confidence recall,Validation mse loss,Validation bounding box iou,Train mse loss,Train bounding box iou
0,0.12539969731107545,0.3111851579928275,0.17358157704060737,0.12412383177570094,0.308802159020137,0.17187590270957306,0.3043017693695483,0.466612522524809,0.466612522524809,0.30438599700040236,0.4667115373829155,0.4667115373829155,0.0492838903618505,0.23710760705766373,0.04890416081581859,0.21572511664043825
1,0.1259470236399886,0.29814719922328003,0.17902544088354844,0.12437790138430012,0.29524471359078724,0.17689745419938138,0.3043017693695483,0.466612522524809,0.466612522524809,0.30438599700040236,0.4667115373829155,0.4667115373829155,0.04914723973903586,0.2406708515424885,0.048768267157996904,0.21993992135527654
2,0.12591427985508238,0.29857358979900583,0.17880601844361754,0.12415293231824646,0.29520588820370003,0.17645659928656363,0.3043017693695483,0.466612522524809,0.466612522524809,0.30438599700040236,0.4667115373829155,0.4667115373829155,0.04900092784931267,0.24574842737646554,0.04862338476944783,0.22515531568521413
3,0.12590509586046725,0.29997016301841756,0.1782904494744309,0.12383823160010048,0.29618504055271855,0.17547606335646912,0.3043017693695483,0.466612522524809,0.466612522524809,0.30438599700040236,0.4667115373829155,0.4667115373829155,0.04874712032375798,0.25465878531017266,0.0483668656128115,0.23465387708304425
4,0.12567484452948816,0.29662885101349534,0.17902456436382516,0.12387010378305993,0.29455667230570204,0.17611709406794787,0.3043708521589461,0.4666937346156774,0.4666937346156774,0.3043775149372028,0.4667015667651348,0.4667015667651348,0.04830375879996707,0.25889542726934694,0.04789555207548275,0.2386806830854567
5,0.12653093685382535,0.29227135546516203,0.18242424242424243,0.12530261290591868,0.29106069420205544,0.18034362609635948,0.30543529271791076,0.467943979179536,0.467943979179536,0.3054784514243974,0.4679946284691137,0.4679946284691137,0.0475975157022518,0.2671128369029517,0.04714013356602003,0.247436548720469
6,0.12757341296773902,0.2865127149861545,0.18697259569953084,0.126190971499896,0.28532455315145816,0.1845114977491179,0.30712752664703924,0.46992741012020967,0.46992741012020967,0.3071065065040749,0.4699028043635823,0.4699028043635823,0.046556588675805366,0.27762965019636465,0.046074054059861785,0.25642361674326203
7,0.12960462443226836,0.2919484175862849,0.1890176420805937,0.12795897435897435,0.29087009232490907,0.18597579154492874,0.3095223232326551,0.4727255392921837,0.4727255392921837,0.3094214916050309,0.4726079319589535,0.4726079319589535,0.04540404577676456,0.2862742282959465,0.04486274081265302,0.2652736017786774
8,0.13440749006586467,0.29984941953660077,0.19588430355244577,0.13062287202082917,0.29344011518041935,0.19055688657745573,0.3109847056702129,0.47442918948658314,0.47442918948658314,0.31026478055857815,0.4735909644557635,0.4735909644557635,0.04468046780597289,0.2976762860225605,0.04410281501047939,0.2785445632692086
9,0.13967698751997237,0.30973642000430923,0.20280586252841132,0.13558513808861514,0.30396436525612475,0.1966343937298294,0.31189611648260257,0.47548904606691655,0.47548904606691655,0.31138042586065373,0.47488954344624446,0.47488954344624446,0.044140594202203356,0.3124927235789565,0.043510309820960706,0.29372104889873174
10,0.14530032338440332,0.31047373071433426,0.21452723857232311,0.14192139737991266,0.3056255247691016,0.20946023708136724,0.31282084818363143,0.4765628891656289,0.4765628891656289,0.3120696516213055,0.47569067882285904,0.47569067882285904,0.04356823153070277,0.3243204345790571,0.042892253214672625,0.30571372108250383
11,0.15122241600785355,0.3030937329928413,0.23183208184569076,0.14792853842599724,0.2982919254658385,0.22688083146332821,0.3134583847847534,0.47730234686669915,0.47730234686669915,0.31268297972313586,0.47640288562145494,0.47640288562145494,0.04323053704134575,0.3344315470606189,0.04246972125118891,0.31554443992665276
12,0.15480743389907592,0.3053414882772681,0.23897052957413878,0.15045598504216431,0.2995290185353996,0.2321323442835276,0.3139491990742101,0.477871137324661,0.477871137324661,0.31291476472076024,0.4766718649665168,0.4766718649665168,0.04285538363244472,0.3390798996069763,0.04200603830175481,0.31919944829031843
13,0.15952033772140023,0.3192848541747454,0.24173311082267138,0.1563276368290296,0.31637083872933647,0.2360732150977717,0.31464276047390616,0.4786741614284368,0.4786741614284368,0.3135761469876909,0.4774388568287991,0.4774388568287991,0.04233123518172884,0.34451964812971586,0.04139018798843661,0.32536372433481203
14,0.1632771936167435,0.3152546974074577,0.2530034235916589,0.15887225585973774,0.30927760503290186,0.24624330704128045,0.31506045693054785,0.4791573729863693,0.4791573729863693,0.313906360870245,0.4778215102974828,0.4778215102974828,0.041971243905665465,0.35216831284672595,0.041007616383621374,0.3310683457845602
15,0.16764186959858854,0.3215186969488415,0.25941293516990327,0.1637052569620719,0.3163207278930907,0.2533447196128665,0.3155467549047706,0.47971955953418366,0.47971955953418366,0.31449170872386445,0.4784993418165862,0.4784993418165862,0.04157377280773682,0.353278703282454,0.040462957779070344,0.33387019286492564
16,0.17044199719461606,0.3274155327931509,0.2622692343018094,0.16693548387096774,0.32242990654205606,0.2571428571428571,0.3156626506024096,0.47985347985347987,0.47985347985347987,0.31466464843046094,0.4786994901036241,0.4786994901036241,0.04151260403268715,0.35767612950677125,0.04034746862067665,0.3388418209683445
