epoch,Train classes accuracy,Train classes precision,Train classes recall,Validation classes accuracy,Validation classes precision,Validation classes recall,Train confidence accuracy,Train confidence precision,Train confidence recall,Validation confidence accuracy,Validation confidence precision,Validation confidence recall,Validation confidence loss,Validation bounding box loss,Validation classes loss,Validation bounding box iou,Train confidence loss,Train bounding box loss,Train classes loss,Train bounding box iou
0,0.11784625804266848,0.2639029322548028,0.17555069783083907,0.10946408209806158,0.25229960578186594,0.1620253164556962,0.29286675639300136,0.45305017697272537,0.45305017697272537,0.29161747343565525,0.4515539305301645,0.4515539305301645,0.4751333839730138,0.05407066337320776,2.296150429816473,0.20274227719753982,0.4417197463742222,0.051410102453756046,2.240558752094407,0.19217644937067146
1,0.11605922551252848,0.22659550811652213,0.1921916258015843,0.10900745840504876,0.2144469525959368,0.18147086914995225,0.2998634107339174,0.4613768004510739,0.4613768004510739,0.29707112970711297,0.45806451612903226,0.45806451612903226,0.3741230614838146,0.041464935833854334,2.3203682013920375,0.21763522890219023,0.3461298549390701,0.039582896483949866,2.2558438031070205,0.20455122837819248
2,0.12758078994614003,0.33245614035087717,0.17151908281792125,0.1159502262443439,0.30966767371601206,0.15636918382913806,0.30463554246765706,0.46700481866599036,0.46700481866599036,0.30302024560238966,0.4651044319918492,0.4651044319918492,0.41308383825279416,0.04431571002029592,2.2762098299889337,0.2371228050680033,0.37823716272790747,0.04101314822054771,2.211048182234707,0.2266663891005229
3,0.12757847533632288,0.28407388916625065,0.18803701255783212,0.1137009664582149,0.2594033722438392,0.16835016835016836,0.3044974683125393,0.4668425592368968,0.4668425592368968,0.3026730865017433,0.4646953861840428,0.4646953861840428,0.3955483036346379,0.04059783600226399,2.2767501175971256,0.21148864192178563,0.3524913792330098,0.038333291255206944,2.197819781590657,0.2055944963751069
4,0.1306717081850534,0.2642230717337531,0.20541958041958042,0.11562678878076703,0.2433734939759036,0.1805183199285076,0.29913959847929034,0.4605195605298285,0.4605195605298285,0.2982456140350877,0.4594594594594595,0.4594594594594595,0.34612982503005435,0.03927702109107659,2.2584706417719524,0.2406780569334071,0.33510451449687223,0.03733225669487413,2.184021392500544,0.22349448394344515
5,0.1303672473094419,0.3312658584719481,0.1769311850624906,0.11439954467842914,0.30180180180180183,0.15557275541795665,0.3054628375028917,0.4679763049972153,0.4679763049972153,0.3039443155452436,0.46619217081850534,0.46619217081850534,0.2996995484332244,0.0386382474289054,2.284383476575216,0.2520555952048883,0.283506599535425,0.036741476438670276,2.206070178962616,0.23647253897534795
6,0.13773954703832753,0.2873693775556565,0.2091946419712254,0.1160815402038505,0.2598225602027883,0.17343485617597293,0.3064484192462544,0.46913206022026877,0.46913206022026877,0.3039443155452436,0.46619217081850534,0.46619217081850534,0.29965942259345735,0.036559938180836894,2.2581016969680787,0.23167640562185884,0.263531463108508,0.0349659736055028,2.152404811008867,0.21673116303351989
7,0.12977768042930676,0.27241379310344827,0.19862554475360375,0.10898876404494381,0.23774509803921567,0.16753022452504318,0.3048885360852021,0.4673020379194971,0.4673020379194971,0.3026730865017433,0.4646953861840428,0.4646953861840428,0.32249602033623626,0.039020503710157105,2.2823816303979783,0.2365842811504401,0.28570959366947773,0.037381556468555725,2.182192964726184,0.22050093994083175
8,0.13513513513513514,0.26779952677995267,0.21432260285763471,0.11117381489841986,0.2304093567251462,0.17684021543985637,0.30667722354183163,0.46940012118763885,0.46940012118763885,0.3044054322623385,0.46673438293550024,0.46673438293550024,0.294980322796674,0.03695207129631724,2.276590660299574,0.22501726901956967,0.256403323397579,0.03475372583033091,2.1478207527873026,0.20798812357776136
9,0.13312357600086797,0.28258866881621375,0.20108161258603738,0.11767986614612382,0.2592137592137592,0.1773109243697479,0.3065628402679249,0.46926612455174505,0.46926612455174505,0.30429021036938875,0.4665989331978664,0.4665989331978664,0.3004474514048724,0.038230951164982145,2.347357397987729,0.24128836545028856,0.2718629626534789,0.036235637996480406,2.184626958456384,0.22331731883158168
