epoch,Train classes accuracy,Train classes precision,Train classes recall,Validation classes accuracy,Validation classes precision,Validation classes recall,Train confidence accuracy,Train confidence precision,Train confidence recall,Validation confidence accuracy,Validation confidence precision,Validation confidence recall,Validation mse loss,Validation bounding box iou,Train mse loss,Train bounding box iou
0,0.11381014599784128,0.28924116424116425,0.1579968454258675,0.11367791258102045,0.28748555216980143,0.1582692196448198,0.3042027267730978,0.4664960753850997,0.4664960753850997,0.3043520675064324,0.4666716526746817,0.4666716526746817,0.05186368733181632,0.11281596865932571,0.05148188163606897,0.10523620186584585
1,0.12037981281301698,0.3159835821783356,0.16280495280127497,0.11870758212932506,0.31291845022500275,0.16055640029284227,0.3044905631654019,0.4668344436720839,0.4668344436720839,0.30459798137403093,0.46696068171625055,0.46696068171625055,0.049684830955495474,0.21522935839212715,0.04930466172102743,0.1993830375890639
2,0.12185364416287951,0.324304759606684,0.16331738437001594,0.11987513007284079,0.3202846975088968,0.16077708926477977,0.3047919602511429,0.46718859333326573,0.46718859333326573,0.3050977526036908,0.46754774038192304,0.46754774038192304,0.048981202145156326,0.230269581663384,0.04857706461423933,0.2114845954253816
3,0.12339337436640116,0.330575005304477,0.16449720206941282,0.12069611557516965,0.3247815370826798,0.1611271676300578,0.30540085866414596,0.4679035663829292,0.4679035663829292,0.3055291797531225,0.4680541568759091,0.4680541568759091,0.04846514940346471,0.23356346952864812,0.04804732958614899,0.21447926917624968
4,0.12359067240208287,0.3315316409571238,0.1646111630431505,0.12124490305400683,0.3263523350879158,0.16171818635884344,0.3058390640586086,0.468417697825713,0.468417697825713,0.30602761389209904,0.46863881075240776,0.46863881075240776,0.04818637910856804,0.23672927296932744,0.047727369239392727,0.21733039661098486
5,0.12360746309211122,0.3328354113952992,0.16432129795463782,0.12175250446855385,0.3285105428443248,0.16209186496956282,0.3063362500041258,0.46900061144771615,0.46900061144771615,0.3064831811716651,0.4691727924071834,0.4691727924071834,0.04796895661090019,0.23934398857667646,0.04746221854429733,0.21991548816992218
6,0.12390541916506392,0.33387190196018657,0.16459519980763163,0.12130029930162953,0.32786516853932585,0.1614473829810778,0.3071069671752806,0.4699033436245132,0.4699033436245132,0.30705600835691815,0.4698436890136238,0.4698436890136238,0.047715545593939965,0.24173083187928462,0.04717544161790617,0.2225847810906121
7,0.12400786920833051,0.33340426178678906,0.16489017845062165,0.1209928901085194,0.32597737201747506,0.16136187201951868,0.3078167044881908,0.47073370974972173,0.47073370974972173,0.30766990291262136,0.470562031331205,0.470562031331205,0.04749351540088545,0.24343820481849085,0.0469164084620438,0.2246885003655895
8,0.1237372025222049,0.3312861162375579,0.1649319937943396,0.12055763628797336,0.3240129739402751,0.16106972089402868,0.30785545850953117,0.47077902455730375,0.47077902455730375,0.3077539133600291,0.4706602828192852,0.4706602828192852,0.04739339303686565,0.24328263610612427,0.0467739405607335,0.22463353404754843
9,0.12378747670938965,0.32966438108985924,0.16542669584245076,0.12057563532005157,0.32257705574719037,0.16145920356446672,0.30847948405778025,0.4715083236936076,0.4715083236936076,0.3082239953435355,0.4712098179526158,0.4712098179526158,0.047174640105131664,0.24414335858158143,0.04653476890126622,0.22576072450895113
