epoch,Train classes accuracy,Train classes precision,Train classes recall,Validation classes accuracy,Validation classes precision,Validation classes recall,Train confidence accuracy,Train confidence precision,Train confidence recall,Validation confidence accuracy,Validation confidence precision,Validation confidence recall,Validation confidence loss,Validation bounding box loss,Validation classes loss,Validation bounding box iou,Train confidence loss,Train bounding box loss,Train classes loss,Train bounding box iou
0,0.09235481210978914,0.1723076923076923,0.1659961888630108,0.0830367734282325,0.15401540154015403,0.15267175572519084,0.3044744506221869,0.4668155063933428,0.4668155063933428,0.3032514930325149,0.4653767820773931,0.4653767820773931,2.614585602737608,2.222191935947963,2.3409485524041314,0.0024459146958473693,2.560659474637135,2.2474288136126046,2.305612621537174,0.002365244616661782
1,0.11656305506216696,0.2621068397403894,0.17349636483807007,0.10694288913773796,0.24025157232704403,0.16159052453468697,0.3036447978793903,0.46583977226514844,0.46583977226514844,0.3,0.46153846153846156,0.46153846153846156,2.5367833911804927,2.0846694814591182,2.284593474751427,0.0011927956763732558,2.4292826422725815,2.091005503413189,2.2373127219188644,0.0013451274778590123
2,0.12201327433628319,0.27846503408230244,0.17842122290520868,0.10836608646827625,0.25,0.1605657237936772,0.3042211554378414,0.4665177438188557,0.4665177438188557,0.30151338766006985,0.46332737030411447,0.46332737030411447,2.507921086720058,2.067572335742769,2.268841000738598,0.001538360326722752,2.405506639595491,2.0706311938274338,2.2055578131273568,0.0017302121599948213
3,0.1228808864265928,0.2817581300813008,0.17892868667312037,0.11519198664440734,0.26436781609195403,0.16953316953316952,0.30589867230332257,0.46848760748609003,0.46848760748609003,0.3037135278514589,0.4659206510681587,0.4659206510681587,2.4219524145694007,2.0614869971502396,2.2609328091712224,0.001401116339672756,2.288306894072567,2.0615528491606194,2.1879205201045577,0.0016593078189215298
4,0.12655716018079594,0.2831771090281204,0.1862124898621249,0.11335578002244669,0.25798212005108556,0.16819317235636969,0.30601327477462603,0.468621997471555,0.468621997471555,0.30220966938029575,0.46414901760653227,0.46414901760653227,2.389110765740985,2.055812651316325,2.265566921801794,0.0018238641326371137,2.2077844501977943,2.0561525649335013,2.1781016631298753,0.0020154649938782117
5,0.13039194219400044,0.28602305475504325,0.19331277390034085,0.1117908787541713,0.2506234413965087,0.16791979949874686,0.3072029009395088,0.4700156352448681,0.4700156352448681,0.3034825870646766,0.46564885496183206,0.46564885496183206,2.3422871413685025,2.056319318498884,2.2585505125636147,0.002070511941454329,2.124809091349682,2.054046162639756,2.168253427528473,0.0024223879375214496
6,0.13125476943202877,0.2941607622770584,0.19159770846594526,0.10718294051627385,0.24740932642487046,0.15903413821815154,0.30736273152725596,0.47020268226278106,0.47020268226278106,0.304635761589404,0.467005076142132,0.467005076142132,2.4740751943134125,2.055950821240743,2.26720812525068,0.0020039049735004525,2.229814138757177,2.0571645713714233,2.1574904961758348,0.0021332204417277866
7,0.13381968641114983,0.3034567901234568,0.19314788621719314,0.11036036036036036,0.25620915032679736,0.1623860811930406,0.30765936419041345,0.4705497052451252,0.4705497052451252,0.3039443155452436,0.46619217081850534,0.46619217081850534,2.306074890579496,2.05598373117901,2.2683911101023355,0.0012024428611177773,2.0511435299034577,2.0554571668785737,2.147618868264807,0.0016148867674577975
8,0.13335507010107597,0.2931899641577061,0.19654012493993273,0.11241610738255034,0.25410872313527183,0.167779632721202,0.30781898425663656,0.4707363755414526,0.4707363755414526,0.30359807660421156,0.465784787585856,0.465784787585856,2.3179486095337642,2.04909859589168,2.2739978540511356,0.0013650778069027832,2.0347341593489587,2.0485148372420348,2.149432719471943,0.0020632328425607004
9,0.1361222499187168,0.29094278434097753,0.20369769704832955,0.10936623667975323,0.24133663366336633,0.16666666666666666,0.30768217156410593,0.4705763804917372,0.4705763804917372,0.3037135278514589,0.4659206510681587,0.4659206510681587,2.3834169275987716,2.048555079641796,2.274931476910909,0.0018462731820043355,2.067942810345845,2.04614220469831,2.1399718235774214,0.00258696839425163
