epoch,Train classes accuracy,Train classes precision,Train classes recall,Validation classes accuracy,Validation classes precision,Validation classes recall,Train confidence accuracy,Train confidence precision,Train confidence recall,Validation confidence accuracy,Validation confidence precision,Validation confidence recall,Validation mse loss,Validation bounding box iou,Train mse loss,Train bounding box iou
0,0.12818498147940285,0.3693402328589909,0.16410403793648512,0.11791128579449747,0.35175879396984927,0.15064562410329985,0.30438236462332846,0.46670726755988634,0.46670726755988634,0.30302024560238966,0.4651044319918492,0.4651044319918492,0.06789780899882317,0.007141140292958534,0.06682775905692434,0.009556803395073995
1,0.12525252525252525,0.35127478753541075,0.16294349540078842,0.11682504192286193,0.3360128617363344,0.15188953488372092,0.30463554246765706,0.46700481866599036,0.46700481866599036,0.3037135278514589,0.4659206510681587,0.4659206510681587,0.057065766673712506,0.02524404224354796,0.05613779222749802,0.029825943645583577
2,0.12567324955116696,0.35398230088495575,0.163075131042516,0.11823759063022866,0.3413848631239936,0.1531791907514451,0.30463554246765706,0.46700481866599036,0.46700481866599036,0.3037135278514589,0.4659206510681587,0.4659206510681587,0.053622868163954646,0.14951928074837528,0.052708983421325684,0.15312659381383872
3,0.126514131897712,0.3583227445997459,0.16357308584686775,0.11702127659574468,0.3415032679738562,0.15112075198843095,0.30463554246765706,0.46700481866599036,0.46700481866599036,0.3037135278514589,0.4659206510681587,0.4659206510681587,0.052641714406864985,0.21258505334146321,0.051766070840229474,0.20992606573076134
4,0.1274564851207187,0.36483445837351336,0.16380430076490113,0.11899441340782123,0.35090609555189456,0.15257879656160458,0.30463554246765706,0.46700481866599036,0.46700481866599036,0.3037135278514589,0.4659206510681587,0.4659206510681587,0.051825607571573486,0.22611721773796792,0.050954269357474456,0.22301328918301916
5,0.1273871040215682,0.36416184971098264,0.1638254839641722,0.11850195640022358,0.3504132231404959,0.1518624641833811,0.30463554246765706,0.46700481866599036,0.46700481866599036,0.3037135278514589,0.4659206510681587,0.4659206510681587,0.051291495132304375,0.23380855830563677,0.050417659018772196,0.22953089084251818
6,0.12734418865805727,0.3642788307099261,0.16373086918856483,0.11771300448430494,0.34941763727121466,0.1507537688442211,0.30463554246765706,0.46700481866599036,0.46700481866599036,0.3037135278514589,0.4659206510681587,0.4659206510681587,0.05080771130110536,0.23731989632235906,0.049919323748852835,0.2320721917841808
7,0.12731559447625462,0.36392811296534017,0.16375451263537907,0.1180089485458613,0.3487603305785124,0.15136298421807748,0.30463554246765706,0.46700481866599036,0.46700481866599036,0.3037135278514589,0.4659206510681587,0.4659206510681587,0.050417301473873,0.23910764750802802,0.0494928415640291,0.23325322011867203
