epoch,Validation Confidence,Validation Bounding box,Validation Classes,Validation accuracy,Train Confidence,Train Bounding box,Train Classes,Train accuracy
0,0.3893003299385309,1.0391632335186005,2.234700368841489,0.22683333,0.39326092707259314,1.0430830358958043,2.2122199435194,0.23213466
1,0.3096521340161562,1.0344758397340774,2.2200682272513705,0.1665,0.3138721185509397,1.0370096509196178,2.2012368195197163,0.17463236
2,0.307825040653348,1.03068002084891,2.2161027228832246,0.189,0.31119309822801783,1.032657463760937,2.194715465317253,0.19571461
3,0.3084318960358699,1.0279426585038502,2.212809147040049,0.20883334,0.31150467502845436,1.0295531584435151,2.1905164713619136,0.2173467
4,0.2993299272097647,1.0257198412021,2.2113875057697294,0.19958334,0.30196057040901747,1.0271510566983904,2.188355917690181,0.20880383
5,0.29948823906232913,1.0239869145949683,2.2098317567507424,0.20225,0.30242110898389535,1.0251904287758995,2.187187953656461,0.20983784
6,0.29739976674690843,1.0223991845846176,2.2088099941015242,0.19916667,0.30034907869681593,1.023453266179862,2.186109698620163,0.2083689
7,0.2970286350200574,1.0212184425592423,2.207784028371175,0.22633334,0.3001390360921872,1.022137930413254,2.184423189203278,0.23357898
8,0.2953839143142104,1.0201270924409231,2.2067927977641424,0.21058333,0.29836234353294894,1.0209474591146999,2.183399330167209,0.21838892
9,0.29359112097943824,1.0193301285505294,2.2054921410481136,0.21308333,0.2967079145943417,1.0200577390794994,2.181714888380355,0.22174534
10,0.2912482414593299,1.0185536819299061,2.2036437131961186,0.217,0.2944877377452971,1.0191799785409654,2.1799169838929378,0.22481453
11,0.2894035522316893,1.017732965985934,2.2018148227532706,0.204,0.2928141813506098,1.0182748785038955,2.177951395010748,0.20950139
12,0.28226464277009167,1.017128089348475,2.1993450194597246,0.18366666,0.28591676964228896,1.0176035115698807,2.176213253445986,0.18815652
13,0.28135234307249385,1.0164753657579422,2.196676108400027,0.20491667,0.2852088927033068,1.016881202950197,2.173185509793899,0.20879562
14,0.27984870292867225,1.0158760383923848,2.1928946674664815,0.18725,0.28382805490694124,1.0162460335663386,2.1697353745708945,0.19212021
15,0.27821602254671357,1.015321033835411,2.1883318973779677,0.19666667,0.2823105725545843,1.0156684229854775,2.1651682763540445,0.20100775
16,0.2811528321821243,1.0147594364484152,2.1830393481651944,0.21416667,0.2855019457325214,1.015068351972003,2.161021536638757,0.21944754
17,0.281009769209971,1.0141859780947367,2.174952779054642,0.20616667,0.2860765842517384,1.0144704622881753,2.153578193247819,0.2109539
18,0.28085487501043827,1.0136864926815032,2.1650637436509133,0.25033334,0.2867790896351598,1.0139557120679807,2.1435519281555626,0.25361902
19,0.2828317425753921,1.013202744046847,2.1509541641871133,0.26091668,0.28957047416758136,1.0134823414958825,2.131827330388943,0.26301536
20,0.2798239677666376,1.0127031830151876,2.1318962189257147,0.29175,0.2867127323851866,1.0129447013390165,2.1159712026099196,0.2931575
